candidate_id,full_name,emails,phones,github_url,linkedin_url,current_company,job_title,location,years_experience,education,skills,source
CAND-8B10550C,Christopher Wright,christopher.wright@duran.com,(123) 281-2067,https://github.com/christopherwright,https://linkedin.com/in/christopher-wright-388,Amazon,"Scientist, research (medical)","East Keithport, Reunion",3,M.S. Computer Science,"Node.js, Machine Learning, SQL, Python, Rust, Docker, Go, Java",recruiter_csv
CAND-0F844FEF,Chris Mitchell,chris.mitchell@rogers-orozco.com,967-054-6688,https://github.com/chrismitchell,https://linkedin.com/in/chris-mitchell-995,Microsoft,Corporate investment banker,"West Ryan, Antarctica (the territory South of 60 deg S)",3,Ph.D. Artificial Intelligence,"Rust, Docker, Java, React, SQL, Machine Learning",recruiter_csv
CAND-9B49BD26,Michelle Rasmussen,,769.340.6088,https://github.com/michellerasmussen,https://linkedin.com/in/michelle-rasmussen-330,Airbnb,Learning disability nurse,"Jonesmouth, Nigeria",3,B.S. Computer Science,"React, SQL, Rust, Node.js, Kubernetes, Docker",recruiter_csv
CAND-FF233D5F,Matthew Day,,(554) 686-8740,https://github.com/matthewday,https://linkedin.com/in/matthew-day-860,Meta,Biomedical scientist,"Michelleton, Tonga",3,B.A. Mathematics,"SQL, Docker, Go, AWS, Node.js, C++, Kubernetes, Java",recruiter_csv
CAND-D4F8FD72,Mason Jackson,,799.799.5527,https://github.com/masonjackson,https://linkedin.com/in/mason-jackson-304,Amazon,Make,"Welchview, Nauru",3,B.S. Computer Science,"Node.js, Java, AWS, Python, SQL, C++",recruiter_csv
CAND-F23E323D,Deborah Williams,deborah.williams@byrd.biz,499-737-5679,https://github.com/deborahwilliams,https://linkedin.com/in/deborah-williams-564,Meta,Claims inspector/assessor,"South Danchester, Uruguay",3,M.S. Computer Science,"Node.js, AWS, Java",recruiter_csv
CAND-142C3FE8,Jeffrey Bright,jeffrey.bright@snyder.com,980.184.5146,https://github.com/jeffreybright,https://linkedin.com/in/jeffrey-bright-975,Meta,"Designer, jewellery","Lake Nancyview, Macao",3,B.A. Mathematics,"Node.js, Go, Machine Learning, Docker, React, SQL, Python",recruiter_csv
CAND-969B6662,Lee Charles,lee.charles@mccullough.com,946-804-4369,https://github.com/leecharles,https://linkedin.com/in/lee-charles-132,Meta,Operational researcher,"Ramosborough, Malawi",3,B.S. Computer Science,"React, Machine Learning, Rust, Python, Java, Docker, Kubernetes",recruiter_csv
CAND-AF2B99B4,Joanne Jennings,,+2327214188,https://github.com/joannejennings,https://linkedin.com/in/joanne-jennings-969,Stripe,Medical laboratory scientific officer,"New Nicholas, Central African Republic",3,B.A. Mathematics,"Java, Machine Learning, Python, Docker, Kubernetes, SQL, C++",recruiter_csv
CAND-4A8FF810,Christine Johnson,christine.johnson@gardner.com,558-815-3714,https://github.com/christinejohnson,https://linkedin.com/in/christine-johnson-217,Amazon,"Optician, dispensing","North Brent, Yemen",3,M.S. Computer Science,"React, Node.js, Go",recruiter_csv
CAND-364D7C87,Dustin Johnson,dustin.johnson@horton-taylor.info,614-341-0369,https://github.com/dustinjohnson,https://linkedin.com/in/dustin-johnson-668,Amazon,"Production assistant, radio","Port Rebeccaside, Andorra",3,Ph.D. Artificial Intelligence,"Node.js, Docker, Rust, Machine Learning, Python",recruiter_csv
CAND-B28F41DE,Christopher Brandt,christopher.brandt@anderson.net,686.337.5243,https://github.com/christopherbrandt,https://linkedin.com/in/christopher-brandt-930,Netflix,"Nurse, learning disability","Mendeztown, Dominican Republic",3,Ph.D. Artificial Intelligence,"Machine Learning, Kubernetes, React, Go",recruiter_csv
CAND-73B6A09B,Michele Duke,michele.duke@ochoa.biz,867-294-6671,https://github.com/micheleduke,https://linkedin.com/in/michele-duke-511,Google,Barrister's clerk,"Heatherstad, Korea",3,Ph.D. Artificial Intelligence,"React, Machine Learning, Python, SQL, Node.js, Rust, Docker",recruiter_csv
CAND-504867BA,Melissa Burke,melissa.burke@hogan.com,+9659726284,https://github.com/melissaburke,https://linkedin.com/in/melissa-burke-290,Google,"Loss adjuster, chartered","Petersenshire, Ethiopia",3,B.S. Computer Science,"Python, Machine Learning, AWS",recruiter_csv
CAND-AD64B56C,Makayla Olson,makayla.olson@francis-morgan.com,596.513.7098,https://github.com/makaylaolson,https://linkedin.com/in/makayla-olson-552,Meta,Psychotherapist,"Lake Madisonport, Pakistan",3,B.A. Mathematics,"C++, Machine Learning, Go, Node.js, Kubernetes, SQL, Python, Rust",recruiter_csv
CAND-C122B5B3,Jamie Garcia,jamie.garcia@otherdomain.com,(380) 961-7445,https://github.com/jamie_garcia_alt,https://linkedin.com/in/jamie-garcia-alt,Stripe,Financial risk analyst,"West Jamesshire, Slovenia",3,Ph.D. Artificial Intelligence,"C++, AWS, Python, Rust, Docker, Kubernetes, Machine Learning, React",recruiter_csv
CAND-0DE051A6,Daniel Yang,daniel.yang@sanchez.net,+43425401938026,https://github.com/danielyang,https://linkedin.com/in/daniel-yang-394,Google,Equities trader,"Frenchburgh, Vietnam",3,M.S. Computer Science,"SQL, Docker, Machine Learning, AWS",recruiter_csv
CAND-BE3E6E57,Suzanne Wilson,suzanne.wilson@thomas.com,282-586-7362,https://github.com/suzannewilson,https://linkedin.com/in/suzanne-wilson-341,Apple,"Scientist, research (life sciences)","Johnsonborough, Korea",3,Ph.D. Artificial Intelligence,"SQL, Kubernetes, Machine Learning, C++, Go, Docker, Python, React",recruiter_csv
CAND-C9776598,Isaac Steele,isaac.steele@price.biz,807-236-8876,https://github.com/isaacsteele,https://linkedin.com/in/isaac-steele-248,Microsoft,Electronics engineer,"Burnsland, Mongolia",3,B.A. Mathematics,"React, Java, SQL, Rust, Machine Learning, Kubernetes, Go",recruiter_csv
CAND-DF547E50,Nathan Nichols,nathan.nichols@williams.org,735-403-3173,https://github.com/nathannichols,https://linkedin.com/in/nathan-nichols-748,Uber,Toxicologist,"New Marc, Finland",3,B.S. Computer Science,"Python, Machine Learning, Java, React, Node.js, Go, Docker",recruiter_csv
CAND-2A25A888,Susan Williams,susan.williams@herring.com,541.390.4966,https://github.com/susanwilliams,https://linkedin.com/in/susan-williams-853,Microsoft,Wellsite geologist,"North Heidi, Gabon",3,B.S. Computer Science,"Python, Kubernetes, Node.js, AWS, Machine Learning, React",recruiter_csv
CAND-A9E782D4,Jamie Garcia,,+001502884395995342,https://github.com/jamiegarcia,https://linkedin.com/in/jamie-garcia-839,Stripe,Financial risk analyst,"Joshuaside, Yemen",3,Ph.D. Artificial Intelligence,"C++, AWS, Python, Rust, Docker, Kubernetes, Machine Learning, React",recruiter_csv
CAND-8A3C3B5E,Michael Powell,michael.powell@morales.net,521-865-5852,https://github.com/michaelpowell,https://linkedin.com/in/michael-powell-790,Block,"Engineer, broadcasting (operations)","North Benjaminmouth, Spain",3,B.S. Computer Science,"AWS, Java, Machine Learning, Python, Kubernetes, Docker",recruiter_csv
CAND-C0E3BEFD,Douglas Sandoval,douglas.sandoval@thomas.com,+9229901476,https://github.com/douglassandoval,https://linkedin.com/in/douglas-sandoval-784,Uber,"Chemist, analytical","Nelsonhaven, Brazil",3,Ph.D. Artificial Intelligence,"Kubernetes, SQL, Go, React, AWS, Java",recruiter_csv
CAND-214F3F12,Jeff Mosley,jeff.mosley@goodwin.biz,989-883-6403,https://github.com/jeffmosley,https://linkedin.com/in/jeff-mosley-206,Netflix,Make,"East Victorland, Marshall Islands",3,B.A. Mathematics,"Python, Machine Learning, SQL, Go, Docker, AWS, Rust",recruiter_csv
CAND-AD238D36,Meagan James,meagan.james@alexander-jordan.org,564.651.9398,https://github.com/meaganjames,https://linkedin.com/in/meagan-james-866,Stripe,Copy,"Hahnborough, Kazakhstan",3,B.A. Mathematics,"Go, Kubernetes, SQL, Docker, Java, Rust, React, Python",recruiter_csv
CAND-ACDABACC,Marcus Sanchez,marcus.sanchez@ramirez.com,273.554.5494,https://github.com/marcussanchez,https://linkedin.com/in/marcus-sanchez-773,Block,"Psychologist, forensic","East Jenniferfort, Moldova",3,B.S. Computer Science,"Kubernetes, Java, Machine Learning, React",recruiter_csv
CAND-52828D80,John Davidson,,(760) 568-5361,https://github.com/johndavidson,https://linkedin.com/in/john-davidson-971,Block,Company secretary,"West Sarahmouth, Somalia",3,B.S. Computer Science,"Java, Node.js, AWS, React",recruiter_csv
CAND-4E20FD1A,Vanessa Sparks,vanessa.sparks@pollard.net,+8747596158,https://github.com/vanessasparks,https://linkedin.com/in/vanessa-sparks-621,Apple,Therapeutic radiographer,"Brennanton, Niger",3,B.A. Mathematics,"React, Python, Rust, Kubernetes",recruiter_csv
CAND-B74D0FB1,Curtis James,curtis.james@abbott-munoz.com,710-341-3164,https://github.com/curtisjames,https://linkedin.com/in/curtis-james-320,Uber,Psychiatric nurse,"West Michael, Paraguay",3,B.A. Mathematics,"Rust, SQL, Kubernetes, React, AWS, Node.js, C++, Python",recruiter_csv
CAND-26242B40,Patrick Gilbert,patrick.gilbert@estes.com,339-500-4797,https://github.com/patrickgilbert,https://linkedin.com/in/patrick-gilbert-512,Airbnb,Technical brewer,"South Dennisview, Saint Lucia",3,B.A. Mathematics,"C++, Java, Python, Rust, Node.js",recruiter_csv
CAND-1A2A73ED,Joseph Zuniga,joseph.zuniga@jones.com,+5136953767242,https://github.com/josephzuniga,https://linkedin.com/in/joseph-zuniga-227,Block,"Development worker, community","Hurstfurt, Guyana",3,Ph.D. Artificial Intelligence,"Kubernetes, Java, Docker",recruiter_csv
CAND-A319DCB4,Christopher Hayden,christopher.hayden@matthews.com,(496) 717-5655,https://github.com/christopherhayden,https://linkedin.com/in/christopher-hayden-136,Amazon,Technical author,"Robertfort, France",3,M.S. Computer Science,"C++, AWS, SQL, Kubernetes, Python",recruiter_csv
CAND-614FF3D7,Kathleen Romero,kathleen.romero@harrell.net,903.911.7182,https://github.com/kathleenromero,https://linkedin.com/in/kathleen-romero-846,Meta,Transport planner,"West Allison, New Caledonia",3,M.S. Computer Science,"AWS, Go, Docker, C++, Machine Learning",recruiter_csv
CAND-FF002D4D,Kevin Erickson,kevin.erickson@hill.net,(247) 411-6719,https://github.com/kevinerickson,https://linkedin.com/in/kevin-erickson-391,Microsoft,"Horticulturist, commercial","Port Anna, Gabon",3,M.S. Computer Science,"Java, SQL, React",recruiter_csv
CAND-7631DE9D,Angelica Barnett,angelica.barnett@jones-hensley.com,052-975-1613,https://github.com/angelicabarnett,https://linkedin.com/in/angelica-barnett-488,Airbnb,Press photographer,"South Monicamouth, Cyprus",3,B.A. Mathematics,"Python, Node.js, Kubernetes, Docker",recruiter_csv
CAND-79A28903,Michael Pollard,michael.pollard@stephens-levine.com,+159050532931839,https://github.com/michaelpollard,https://linkedin.com/in/michael-pollard-535,Microsoft,"Biochemist, clinical","Kimtown, Falkland Islands (Malvinas)",3,B.S. Computer Science,"Java, AWS, Kubernetes, React, Machine Learning, SQL, Go",recruiter_csv
CAND-D7665CDA,Christopher Caldwell,christopher.caldwell@holden.com,+4429684145933,https://github.com/christophercaldwell,https://linkedin.com/in/christopher-caldwell-349,Apple,Fish farm manager,"South Julie, New Caledonia",3,Ph.D. Artificial Intelligence,"AWS, Java, C++",recruiter_csv
CAND-618AE305,Lauren Guerra,lauren.guerra@fuentes.info,368-868-0589,https://github.com/laurenguerra,https://linkedin.com/in/lauren-guerra-518,Amazon,Corporate treasurer,"Lake Elizabeth, Chad",3,B.A. Mathematics,"Docker, Java, React, AWS, Python, Node.js, Kubernetes, C++",recruiter_csv
CAND-1BAC5C15,Kim Shelton,kim.shelton@mccormick.com,192-546-2914,https://github.com/kimshelton,https://linkedin.com/in/kim-shelton-813,Block,Brewing technologist,"Lake Jacqueline, Yemen",3,M.S. Computer Science,"Python, Node.js, Machine Learning, Kubernetes, SQL, Docker, Java",recruiter_csv
CAND-0D6A05B3,Nancy Johnson,nancy.johnson@bailey-montoya.info,(923) 309-5849,https://github.com/nancyjohnson,https://linkedin.com/in/nancy-johnson-470,Airbnb,Commercial/residential surveyor,"Keithview, Zambia",3,Ph.D. Artificial Intelligence,"Rust, Kubernetes, SQL, Java",recruiter_csv
CAND-57C700AA,Michele Jones,michele.jones@bradshaw.org,(717) 464-8877,https://github.com/michelejones,https://linkedin.com/in/michele-jones-103,Apple,"Engineer, civil (consulting)","Navarroview, Anguilla",3,B.A. Mathematics,"Go, Rust, Node.js, SQL",recruiter_csv
CAND-98AE4334,Bruce Edwards,bruce.edwards@silva.net,543.534.6247,https://github.com/bruceedwards,https://linkedin.com/in/bruce-edwards-649,Stripe,"Designer, industrial/product","South Christineshire, Bolivia",3,B.S. Computer Science,"Kubernetes, Rust, Machine Learning",recruiter_csv
CAND-E0F3EAB0,Rachel Flynn,rachel.flynn@nolan.com,+563542160733754,https://github.com/rachelflynn,https://linkedin.com/in/rachel-flynn-269,Amazon,"Civil engineer, contracting","Lake Jamesmouth, Fiji",3,Ph.D. Artificial Intelligence,"React, Python, Rust, Java, SQL",recruiter_csv
CAND-D664D264,David Perry,david.perry@brown.com,717-804-6226,https://github.com/davidperry,https://linkedin.com/in/david-perry-429,Netflix,Occupational hygienist,"Kanefurt, Honduras",3,Ph.D. Artificial Intelligence,"Machine Learning, Go, AWS, C++, Rust, Node.js, React",recruiter_csv
CAND-1B049863,Henry Schwartz,henry.schwartz@lamb.biz,859.477.4688,https://github.com/henryschwartz,https://linkedin.com/in/henry-schwartz-945,Block,Medical sales representative,"Port Cassandra, Tunisia",3,Ph.D. Artificial Intelligence,"Docker, Go, AWS, C++, Kubernetes, Java",recruiter_csv
CAND-9B3080D5,Patrick Vega,patrick.vega@durham-thomas.info,(636) 713-6959,https://github.com/patrickvega,https://linkedin.com/in/patrick-vega-171,Google,Forest/woodland manager,"Port Dominiqueview, Algeria",3,B.A. Mathematics,"Java, Kubernetes, Machine Learning, React, Node.js, Python, Docker",recruiter_csv
,Brittany Moss,brittany.moss@garrett.net,+0016275086688263,https://github.com/brittanymoss,https://linkedin.com/in/brittany-moss-835,Amazon,Research scientist (life sciences),"Deborahmouth, Tanzania",3,B.A. Mathematics,"Java, AWS, Node.js, Docker",recruiter_csv
CAND-30BEB45F,Patricia Dalton,patricia.dalton@osborne.com,698-687-2774,https://github.com/patriciadalton,https://linkedin.com/in/patricia-dalton-769,Uber,"Scientist, marine","Simsview, Kazakhstan",3,B.S. Computer Science,"Java, Go, Kubernetes",recruiter_csv
CAND-B963F37F,Michael Rodriguez,,424.445.1076,https://github.com/michaelrodriguez,https://linkedin.com/in/michael-rodriguez-758,Uber,English as a second language teacher,"Patelbury, Macao",3,B.S. Computer Science,"AWS, C++, Machine Learning, SQL",recruiter_csv
CAND-E45B712E,Regina Hopkins,regina.hopkins@ellis-maynard.com,(924) 998-5698,https://github.com/reginahopkins,https://linkedin.com/in/regina-hopkins-344,Apple,Quality manager,"Garciaville, Timor-Leste",3,Ph.D. Artificial Intelligence,"Kubernetes, SQL, AWS, C++, Machine Learning, React, Go",recruiter_csv
CAND-5487FD4F,Ashlee Jennings,ashlee.jennings@beltran.com,452.714.5623,https://github.com/ashleejennings,https://linkedin.com/in/ashlee-jennings-530,Uber,Event organiser,"Mariaview, United States Minor Outlying Islands",3,M.S. Computer Science,"Docker, Go, Java, Node.js, SQL, Rust, React",recruiter_csv
CAND-CEDA8BBB,Paul Caldwell,paul.caldwell@ramsey-pittman.com,(237) 556-4641,https://github.com/paulcaldwell,https://linkedin.com/in/paul-caldwell-985,Uber,Writer,"West Jeffreyland, Slovakia (Slovak Republic)",3,Ph.D. Artificial Intelligence,"Java, Python, SQL, Go, Rust, Kubernetes, AWS",recruiter_csv
CAND-F10013A7,Michael Powell,michael.powell@otherdomain.com,(241) 591-3800,https://github.com/michael_powell_alt,https://linkedin.com/in/michael-powell-alt,Block,"Engineer, broadcasting (operations)","South Michaelberg, Christmas Island",3,B.S. Computer Science,"AWS, Java, Machine Learning, Python, Kubernetes, Docker",recruiter_csv
CAND-B6AAE05B,Diana Rich,diana.rich@le.com,711-116-1528,https://github.com/dianarich,https://linkedin.com/in/diana-rich-256,Microsoft,Patent attorney,"South Michaelchester, Trinidad and Tobago",3,Ph.D. Artificial Intelligence,"React, Node.js, Docker, Machine Learning, Java",recruiter_csv
CAND-8D7248E2,Elaine Morales,elaine.morales@johnson.com,448-247-7109,https://github.com/elainemorales,https://linkedin.com/in/elaine-morales-205,Google,Operations geologist,"Andreaside, Ireland",3,M.S. Computer Science,"Kubernetes, C++, Python, Node.js",recruiter_csv
CAND-BDD640FB,Danielle Johnson,danielle.johnson@sanchez-taylor.com,763-679-4026,https://github.com/daniellejohnson,https://linkedin.com/in/danielle-johnson-716,Google,Sports administrator,"East Susan, Guadeloupe",3,M.S. Computer Science,"React, Rust, C++, Java, SQL",recruiter_csv
CAND-663F1C97,Sandra Ramos,sandra.ramos@garcia.com,+50266064746872,https://github.com/sandraramos,https://linkedin.com/in/sandra-ramos-263,Amazon,Chief Financial Officer,"North Beth, Mauritius",3,M.S. Computer Science,"React, C++, SQL, AWS, Java",recruiter_csv
CAND-79E13CEA,Crystal Andrews,,670.654.0515,https://github.com/crystalandrews,https://linkedin.com/in/crystal-andrews-666,Apple,"Teacher, English as a foreign language","Dennisstad, Mayotte",3,B.A. Mathematics,"Rust, AWS, Go, Python, Java, C++, Machine Learning, React",recruiter_csv
CAND-BC2CBB0D,Lori Campbell,lori.campbell@monroe-carpenter.info,867-253-3963,https://github.com/loricampbell,https://linkedin.com/in/lori-campbell-936,Airbnb,Database administrator,"Juliefurt, Hungary",3,M.S. Computer Science,"Node.js, C++, Java, Kubernetes",recruiter_csv
CAND-6123FDF7,Rodney Lewis,,+5983393010,https://github.com/rodneylewis,https://linkedin.com/in/rodney-lewis-167,Google,Midwife,"Port Markhaven, Dominica",3,Ph.D. Artificial Intelligence,"Go, SQL, React, Docker, Python",recruiter_csv
CAND-6A34C854,Ruth Williams,ruth.williams@burke-bell.org,+16996809402,https://github.com/ruthwilliams,https://linkedin.com/in/ruth-williams-106,Uber,"Runner, broadcasting/film/video","Michaelburgh, Trinidad and Tobago",3,Ph.D. Artificial Intelligence,"Docker, SQL, AWS, Kubernetes, Python, Java",recruiter_csv
CAND-6232B17A,Nathaniel Miles,,598-922-5871,https://github.com/nathanielmiles,https://linkedin.com/in/nathaniel-miles-102,Uber,Firefighter,"New Seanton, Korea",3,B.A. Mathematics,"Machine Learning, SQL, C++, Java",recruiter_csv
CAND-5FD23109,Chad Reyes,chad.reyes@shaffer.com,518-490-9275,https://github.com/chadreyes,https://linkedin.com/in/chad-reyes-862,Amazon,"Copywriter, advertising","Jensenmouth, Tokelau",3,Ph.D. Artificial Intelligence,"Go, AWS, Java, Machine Learning",recruiter_csv
CAND-CDFC6EE0,Alyssa Hill,,256-379-3341,https://github.com/alyssahill,https://linkedin.com/in/alyssa-hill-965,Block,Editorial assistant,"Grayside, Lebanon",3,B.A. Mathematics,"Node.js, Go, SQL, C++, Java, React",recruiter_csv
CAND-F53D4330,Michele Thomas,michele.thomas@fernandez.com,(368) 911-7758,https://github.com/michelethomas,https://linkedin.com/in/michele-thomas-553,Airbnb,Agricultural engineer,"New Bradley, Slovenia",3,B.A. Mathematics,"SQL, AWS, Python, Rust, React, Kubernetes, Machine Learning, Go",recruiter_csv
CAND-279C658A,Pamela Smith,pamela.smith@peck-anderson.org,+8438006848,https://github.com/pamelasmith,https://linkedin.com/in/pamela-smith-773,Uber,Petroleum engineer,"Millerside, Mauritania",3,B.S. Computer Science,"AWS, React, Java, Docker, SQL, Python, C++, Node.js",recruiter_csv
CAND-26D794D3,Jenna Graves,jenna.graves@leon.com,(358) 395-7829,https://github.com/jennagraves,https://linkedin.com/in/jenna-graves-710,Stripe,Community development worker,"Raymondfort, Malta",3,Ph.D. Artificial Intelligence,"Machine Learning, Node.js, Java, React",recruiter_csv
CAND-2702878B,Brian Romero,brian.romero@murray-johnson.com,451-782-0377,https://github.com/brianromero,https://linkedin.com/in/brian-romero-938,Apple,Historic buildings inspector/conservation officer,"Samanthafurt, Ireland",3,B.S. Computer Science,"C++, AWS, Java, React",recruiter_csv
CAND-839FBC50,Thomas Santana,thomas.santana@jackson.org,979.817.6936,https://github.com/thomassantana,https://linkedin.com/in/thomas-santana-903,Block,Legal executive,"East Diana, Albania",3,Ph.D. Artificial Intelligence,"Node.js, Go, AWS, React",recruiter_csv
CAND-7C16128D,Kaitlyn Brennan,kaitlyn.brennan@mcdowell-smith.org,152-742-0549,https://github.com/kaitlynbrennan,https://linkedin.com/in/kaitlyn-brennan-517,Microsoft,Toxicologist,"Wilcoxhaven, Greece",3,B.S. Computer Science,"Python, Go, Machine Learning",recruiter_csv
CAND-E256A6DC,Christopher Gay,christopher.gay@murray.com,(378) 626-3982,https://github.com/christophergay,https://linkedin.com/in/christopher-gay-521,Microsoft,Research scientist (physical sciences),"Morganhaven, Ethiopia",3,B.A. Mathematics,"Machine Learning, C++, React, Go, SQL, Rust",recruiter_csv
CAND-74222167,Diana Rich,diana.rich@otherdomain.com,420.727.5884,https://github.com/diana_rich_alt,https://linkedin.com/in/diana-rich-alt,Microsoft,Patent attorney,"Lake Kimberly, Ethiopia",3,Ph.D. Artificial Intelligence,"React, Node.js, Docker, Machine Learning, Java",recruiter_csv
CAND-88BD13D1,Whitney Hill,whitney.hill@jones.biz,790.927.5571,https://github.com/whitneyhill,https://linkedin.com/in/whitney-hill-391,Microsoft,Medical physicist,"Edwardsview, Egypt",3,B.S. Computer Science,"Node.js, Python, Go, SQL",recruiter_csv
CAND-076979D6,Christina Ramirez,christina.ramirez@miller-mccall.com,+9462303161,https://github.com/christinaramirez,https://linkedin.com/in/christina-ramirez-773,Microsoft,Software engineer,"Elizabethburgh, British Indian Ocean Territory (Chagos Archipelago)",3,M.S. Computer Science,"Node.js, Rust, Docker, Machine Learning",recruiter_csv
CAND-F93E08D5,Erica Fernandez,erica.fernandez@campos-taylor.com,(804) 773-5866,https://github.com/ericafernandez,https://linkedin.com/in/erica-fernandez-294,Block,"Restaurant manager, fast food","Port Christinebury, Rwanda",3,M.S. Computer Science,"Machine Learning, AWS, Node.js",recruiter_csv
CAND-2E76128B,George Fuller,george.fuller@hampton.com,(838) 578-6527,https://github.com/georgefuller,https://linkedin.com/in/george-fuller-810,Netflix,Ambulance person,"Chelseaborough, Egypt",3,B.A. Mathematics,"Kubernetes, Go, AWS, Java, Machine Learning, C++, React",recruiter_csv
CAND-5738811D,Susan Johnson,susan.johnson@porter.net,+17473312172715,https://github.com/susanjohnson,https://linkedin.com/in/susan-johnson-690,Uber,Commercial/residential surveyor,"Patriciaburgh, Rwanda",3,Ph.D. Artificial Intelligence,"Python, Node.js, AWS, Java",recruiter_csv
CAND-FB1E143B,Brittany Price,brittany.price@lewis.com,469.155.7924,https://github.com/brittanyprice,https://linkedin.com/in/brittany-price-441,Amazon,Technical brewer,"Davidport, Brazil",3,B.S. Computer Science,"Docker, SQL, Rust, Python, Kubernetes, C++, Java, Go",recruiter_csv
CAND-C693DA11,Robert Ortiz,robert.ortiz@jones.info,+179252680182422,https://github.com/robertortiz,https://linkedin.com/in/robert-ortiz-312,Block,"Psychologist, prison and probation services","Staceyhaven, Ukraine",3,B.S. Computer Science,"Kubernetes, AWS, Go, Node.js, Rust, C++, SQL",recruiter_csv
